	Opponent team names	Game date	stadiumID
41	White Sox	2016-05-17T20:10:00	['U.S. Cellular Field', 'Chicago', 'IL']
42	White Sox	2016-05-18T20:10:00	['U.S. Cellular Field', 'Chicago', 'IL']
43	White Sox	2016-05-19T20:10:00	['U.S. Cellular Field', 'Chicago', 'IL']
44	Rangers	2016-05-20T20:10:00	['Minute Maid Park', 'Houston', 'TX']
45	Rangers	2016-05-21T19:15:00	['Minute Maid Park', 'Houston', 'TX']
46	Rangers	2016-05-22T14:10:00	['Minute Maid Park', 'Houston', 'TX']
47	Orioles	2016-05-24T20:10:00	['Minute Maid Park', 'Houston', 'TX']
48	Orioles	2016-05-25T20:10:00	['Minute Maid Park', 'Houston', 'TX']
49	Orioles	2016-05-26T20:10:00	['Minute Maid Park', 'Houston', 'TX']
50	Angels	2016-05-27T22:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
51	Angels	2016-05-28T22:05:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
52	Angels	2016-05-29T15:35:00	['Angel Stadium of Anaheim', 'Anaheim', 'CA']
53	Diamondbacks	2016-05-30T16:10:00	['Chase Field', 'Phoenix', 'AZ']
54	Diamondbacks	2016-05-31T15:40:00	['Chase Field', 'Phoenix', 'AZ']
55	Diamondbacks	2016-06-01T20:10:00	['Minute Maid Park', 'Houston', 'TX']
56	Diamondbacks	2016-06-02T14:10:00	['Minute Maid Park', 'Houston', 'TX']
57	Athletics	2016-06-03T20:10:00	['Minute Maid Park', 'Houston', 'TX']
58	Athletics	2016-06-04T16:10:00	['Minute Maid Park', 'Houston', 'TX']
59	Athletics	2016-06-05T14:10:00	['Minute Maid Park', 'Houston', 'TX']
60	Rangers	2016-06-06T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
61	Rangers	2016-06-07T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
62	Rangers	2016-06-08T20:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
63	Rangers	2016-06-09T14:05:00	['Globe Life Park in Arlington', 'Arlington', 'TX']
64	Rays	2016-06-10T19:10:00	['Tropicana Field', 'St. Petersburg', 'FL']
65	Rays	2016-06-11T16:10:00	['Tropicana Field', 'St. Petersburg', 'FL']
